

"NE Report"
"Save Time: 10/21/2018 14:16:17"
"User Name:RNOSTG"
""

"Total 694 Records"

"NE Name","NE Type","IP Address 1","IP Address 2","Version","Med Partition","Subarea IP","TimeZone","Physical Location","Vendor","Description","District","Longitude","Latitude","Capacity","Maintenance Region","NE Connection Status","Base Station RAT","Base Station ID","Base Station RNC","Home Subnet","Product Type","NE Maintenance Mode","Creation Time","First Connection Time","Password of OM Connection Administrator Recently Modified On"
NKR-Obeid-08-W-242,BTS3900 WCDMA,17.23.61.126,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,242,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,-,-,-
NKR-OBD-07-W-247,BTS3900 WCDMA,17.23.61.127,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,247,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,-,-,-
NKR-Obeid-06-W-243,BTS3900 WCDMA,17.23.61.137,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,243,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,-,-,-
NKR-Obeid-04-W-245,BTS3900 WCDMA,17.23.61.128,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,245,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,-,-,-
NKR-KHORTAGAT-01-W-278,BTS3900 WCDMA,17.23.61.131,-,BTS3900 V100R011C10SPH321,med_partition0205,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Offline,U,278,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,-,-,-
NKR-AirPort-W-2404,BTS3900 WCDMA,17.23.60.85,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,2404,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,-,-,-
NKR-Alsalehein-W-2411,BTS3900 WCDMA,17.23.60.86,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,2411,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,-,-,-
NKR-Alzareeba-02-W-2408,BTS3900 WCDMA,17.23.60.89,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,2408,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,-,-,-
NKR-Obeid-24-W-4609,BTS3900 WCDMA,17.23.60.144,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,4609,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,05/23/2017 07:37:18,05/23/2017 07:37:49,-
NKR-Elobied-17-W-2401,BTS3900 WCDMA,17.23.60.90,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,2401,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,05/24/2017 08:59:38,05/24/2017 10:29:17,-
NKR-Alshuhada-W-2405,BTS3900 WCDMA,17.23.60.98,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,2405,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,05/24/2017 12:04:11,05/24/2017 13:15:05,-
NKR-Obeid-19-W-4615,BTS3900 WCDMA,17.23.60.131,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,4615,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,05/24/2017 14:32:31,05/24/2017 15:09:09,-
OMD-ThoraAlriad-01-L-6050,BTS3900,10.140.22.58,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,L(F),//6050,//,Physical Root/EASY_DEPLOYMENT,DBS3900,NORMAL,05/28/2017 14:18:15,08/05/2017 18:06:54,-
GAZ-Medani-14-W-2450,BTS3900 WCDMA,17.25.77.7,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,2450,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,05/29/2017 09:08:55,06/06/2017 10:59:29,-
GAZ-Medani-15-W-2451,BTS3900 WCDMA,17.25.79.8,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,2451,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,05/29/2017 09:12:48,06/04/2017 11:29:17,-
GAZ-MDN-Alingaz-W-2844,BTS3900 WCDMA,17.25.79.5,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,2844,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,05/29/2017 10:37:36,06/05/2017 09:43:01,-
GAZ-Alsoriba-01-W-2862,BTS3900 WCDMA,17.25.79.9,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,2862,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,05/30/2017 10:31:07,06/04/2017 10:35:13,-
GAZ-Araibab-01-W-2845,BTS3900 WCDMA,17.25.79.6,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,2845,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,05/30/2017 11:50:30,06/08/2017 09:11:13,-
GAZ-Medani-22-W-4631,BTS3900 WCDMA,17.25.77.9,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,4631,KHS_RNC,Physical Root/3G network/KHS_RNC,DBS3900 WCDMA,NORMAL,05/31/2017 10:50:15,06/03/2017 13:50:45,-
KHN-Kafory-01-WL-1079,BTS3900,10.140.7.46,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,UL(F),/1079/1079,/KHN_RNC/,Physical Root/EASY_DEPLOYMENT,DBS3900,NORMAL,07/25/2017 12:46:44,07/30/2017 19:36:10,-
KRT-Amarat-04-WL-6026,BTS3900,10.140.6.46,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,UL(F),/6026/6026,/KHS_RNC/,Physical Root/EASY_DEPLOYMENT,DBS3900,NORMAL,07/25/2017 16:24:26,07/25/2017 17:46:50,-
KHN-Alwihda-01-W-2580,BTS3900 WCDMA,17.23.26.8,-,BTS3900 V100R011C10SPH321,med_partition0206,10.100.0.39,GMT+02:00,-,-,-,-,"0D0'0""W","0D0'0""S",-,-,Online,U,2580,KHN_RNC,Physical Root/3G network/KHN_RNC,DBS3900 WCDMA,NORMAL,07/25/2017 19:21:46,07/25/2017 19:57:50,-
