Entity_Type_SQL,Object_Type_SQL,Example,Regular Expression,Object1,Object2,Object3,Object4,Object5,Object6,Merge-Columns1,Merge-Columns2,Merge-Columns3
BSC6900GSM,GCU Subsystem,,,,,,,,,,,
BSC6900GSM,SCU Subsystem,,,,,,,,,,,
BSC6900GSM,DPU Subsystem,,,,,,,,,,,
BSC6900GSM,XPU Subsystem,,,,,,,,,,,
BSC6900GSM,Interface Board Subsystem,,,,,,,,,,,
BSC6900GSM,NIU DSP,,,,,,,,,,,
BSC6900GSM,NIU Subsystem,,,,,,,,,,,
BSC6900GSM,ASU Subsystem,,,,,,,,,,,
BSC6900GSM,SCCP OSP,,,,,,,,,,,
BSC6900GSM,IP Path,,,,,,,,,,,
BSC6900GSM,SCTP Link,,,,,,,,,,,
BSC6900GSM,IP Transport Adjacent Node Connection,,,,,,,,,,,
BSC6900GSM,M3UA Link,,,,,,,,,,,
BSC6900GSM,M3UA Link Set,,,,,,,,,,,
BSC6900GSM,M3UA Destination Entity,,,,,,,,,,,
BSC6900GSM,MTP3 Destination Signaling Point,,,,,,,,,,,
BSC6900GSM,MTP3 Link,,,,,,,,,,,
BSC6900GSM,MTP3 Link Set,,,,,,,,,,,
BSC6900GSM,Interface Board for Transport Resource Management Result,,,,,,,,,,,
BSC6900GSM,SCTP LinkIP Layer,,,,,,,,,,,
BSC6900GSM,MP Group,,,,,,,,,,,
BSC6900GSM,PPP Link,,,,,,,,,,,
BSC6900GSM,IPPath IP Layer,,,,,,,,,,,
BSC6900GSM,SDH,,,,,,,,,,,
BSC6900GSM,Logic Port,,,,,,,,,,,
BSC6900GSM,IPPath RTP,,,,,,,,,,,
BSC6900GSM,IPPath PM,,,,,,,,,,,
BSC6900GSM,Logic Port Queue,,,,,,,,,,,
BSC6900GSM,MP Queue,,,,,,,,,,,
BSC6900GSM,PPP Link Queue,,,,,,,,,,,
BSC6900GSM,HDLC Link,,,,,,,,,,,
BSC6900GSM,InterSubrack Traffic,,,,,,,,,,,
BSC6900GSM,Transmission Resource Pool Adjacent Node,,,,,,,,,,,
BSC6900GSM,Transmission Resource Pool Local IP Address,,,,,,,,,,,
BSC6900GSM,Transmission Resource Pool IP Address RTP,,,,,,,,,,,
BSC6900GSM,TWAMP,,,,,,,,,,,
BSC6900GSM,Local IP Address,,,,,,,,,,,
BSC6900GSM,E1T1 Electrical Port,,,,,,,,,,,
BSC6900GSM,FEGE Ethernet Port,,,,,,,,,,,
BSC6900GSM,E1T1 Port Bit Error,,,,,,,,,,,
BSC6900GSM,Channelized Optical Port,,,,,,,,,,,
BSC6900GSM,NonChannelized Optical Port,,,,,,,,,,,
BSC6900GSM,Trunk Group,,,,,,,,,,,
BSC6900GSM,Integrated Firewall,,,,,,,,,,,
BSC6900GSM,LAPD Link,,,,,,,,,,,
BSC6900GSM,Site,,,,,,,,,,,
BSC6900GSM,GSM Cell,"KHC-BSC1/GCELL:LABEL=KRT-Palace-G-5015-5, CellIndex=343, CGI=6340703EAC3E9","^(.*?)\/GCELL\:LABEL\=(.*?)\,.*?$",NE_Name,Cell_Name,,,,,,,
BSC6900GSM,TRX,"KHC-BSC1/Cell:LABEL=KRT-KhartoumSouth-01-G-1017-3, CellIndex=92, CGI=6340703EB27BD/TRX:TRX Index=1826, TRX Name=KRT-KhartoumSouth-01-G-1017-32","^(.*?)\/Cell\:LABEL\=(.*?)\,.*?\/TRX\:TRX\sIndex\=(\d*)\,.*?$",NE_Name,Cell_Name,TRX_Index,,,,,,
BSC6900GSM,DPC Group,,,,,,,,,,,
BSC6900GSM,AInterface Timeslot,,,,,,,,,,,
BSC6900GSM,PCU,,,,,,,,,,,
BSC6900GSM,Abis Interface,,,,,,,,,,,
BSC6900GSM,SCCP Destination Signaling Point,,,,,,,,,,,
BSC6900GSM,BSC,,,,,,,,,,,
BSC6900GSM,,,,,,,,,,,,
BSC6900GSM,GSM CelltoGSM Cell Handover,,,,,,,,,,,
BSC6900GSM,Neighboring GSM Cell,,,,,,,,,,,
BSC6900GSM,BSC Report,,,,,,,,,,,
BSC6900GSM,BC,,,,,,,,,,,
BSC6900GSM,NSVC,,,,,,,,,,,
BSC6900GSM,NSVL,,,,,,,,,,,
BSC6900GSM,GSM DSP,,,,,,,,,,,
BSC6900GSM,TNU Subsystem,,,,,,,,,,,
BSC6900GSM,MTP2 Link,,,,,,,,,,,
BSC6900GSM,BTS MP Group,,,,,,,,,,,
BSC6900GSM,BTS PPP Link,,,,,,,,,,,
BSC6900GSM,BTS Transmission Board FEGE Port,,,,,,,,,,,
BSC6900GSM,BTS Tunnel,,,,,,,,,,,
